,,REPORTE COTIZACIONES,,,,01/09/2018 - 26/08/2020,,
Instrumento,Fecha,,Precio,Var %,Var Anual %,,TIR %,Mod. Duration (años)
GGAL.O,15/11/2018,,"26,35","4,69","-0,48",,,
GGAL.O,14/11/2018,,"25,17","8,58","-0,49",,,
GGAL.O,13/11/2018,,"23,18","-4,14","-0,55",,,
GGAL.O,12/11/2018,,"24,18","-4,28","-0,53",,,
GGAL.O,09/11/2018,,"25,26","-2,88","-0,53",,,
GGAL.O,08/11/2018,,"26,01","-1,44","-0,51",,,
GGAL.O,07/11/2018,,"26,39","0,08","-0,50",,,
GGAL.O,06/11/2018,,"26,37","-0,75","-0,51",,,
GGAL.O,05/11/2018,,"26,57","-0,93","-0,51",,,
GGAL.O,02/11/2018,,"26,82","0,56","-0,49",,,
GGAL.O,01/11/2018,,"26,67","15,65","-0,50",,,
GGAL.O,31/10/2018,,"23,06","1,14","-0,57",,,
GGAL.O,30/10/2018,,"22,80","2,20","-0,50",,,
GGAL.O,29/10/2018,,"22,31","-2,87","-0,59",,,
GGAL.O,26/10/2018,,"22,97","-1,63","-0,58",,,
GGAL.O,25/10/2018,,"23,35","5,66","-0,58",,,
GGAL.O,24/10/2018,,"22,10","-1,56","-0,60",,,
GGAL.O,23/10/2018,,"22,45","-1,49","-0,60",,,
GGAL.O,22/10/2018,,"22,79","-0,44","-0,60",,,
GGAL.O,19/10/2018,,"22,89","1,96","-0,57",,,
GGAL.O,18/10/2018,,"22,45","-2,94","-0,58",,,
GGAL.O,17/10/2018,,"23,13","-4,54","-0,57",,,
GGAL.O,16/10/2018,,"24,23","-2,38","-0,55",,,
GGAL.O,15/10/2018,,"24,82","0,85","-0,54",,,
GGAL.O,12/10/2018,,"24,61","13,72","-0,54",,,
GGAL.O,11/10/2018,,"21,64","-1,73","-0,59",,,
GGAL.O,10/10/2018,,"22,02","-6,54","-0,58",,,
GGAL.O,09/10/2018,,"23,56","-5,27","-0,55",,,
GGAL.O,08/10/2018,,"24,87","2,85","-0,52",,,
GGAL.O,05/10/2018,,"24,18","-0,82","-0,55",,,
GGAL.O,04/10/2018,,"24,38","-9,37","-0,53",,,
GGAL.O,03/10/2018,,"26,90","-3,34","-0,40",,,
GGAL.O,02/10/2018,,"27,83","7,53","-0,46",,,
GGAL.O,01/10/2018,,"25,88","1,77","-0,50",,,
GGAL.O,28/09/2018,,"25,43","-5,78","-0,49",,,
GGAL.O,27/09/2018,,"26,99","-7,79","-0,45",,,
GGAL.O,26/09/2018,,"29,27","-1,68","-0,41",,,
GGAL.O,25/09/2018,,"29,77","5,05","-0,39",,,
GGAL.O,24/09/2018,,"28,34","-4,77","-0,42",,,
GGAL.O,21/09/2018,,"29,76","5,87","-0,37",,,
GGAL.O,20/09/2018,,"28,11","12,53","-0,40",,,
GGAL.O,19/09/2018,,"24,98","4,13","-0,47",,,
GGAL.O,18/09/2018,,"23,99","1,52","-0,48",,,
GGAL.O,17/09/2018,,"23,63","10,42","-0,49",,,
GGAL.O,14/09/2018,,"21,40","0,47","-0,50",,,
GGAL.O,13/09/2018,,"21,30","-4,95","-0,50",,,
GGAL.O,12/09/2018,,"22,41","0,86","-0,50",,,
GGAL.O,11/09/2018,,"22,22","-3,31","-0,50",,,
GGAL.O,10/09/2018,,"22,98","-3,00","-0,49",,,
GGAL.O,07/09/2018,,"23,69","-3,31","-0,50",,,
GGAL.O,06/09/2018,,"24,50","13,58","-0,40",,,
GGAL.O,05/09/2018,,"21,57","7,63","-0,53",,,
GGAL.O,04/09/2018,,"20,04","-10,93","-0,56",,,
